id, artist, album, song, format_song
9cafedd6596f43c9b33ca4ee4088de56,Assemble Head In Sunburst Sound,When Sweet Sleep Returned,Two Birds,Two_Birds
865d22f8870e47febfcb983c0387eb9d,Atmosphere,To All My Friends, Blood Makes the Blade Holy_ The Atmosphere EP's,The Major Leagues,The_Major_Leagues
49881d32771e4b18bca0aa63cf687ac1,B.o.B,Unknown Album,Ghost in the Machine,Ghost_in_the_Machine
5b50525a5a5f43a9ab2e34ec983a0759,Band of horses,Cease to begin, Detlef Schrempf,Detlef_Schrempf
5df20319bd324c7da5736f1a68f9b458,Band of horses,Cease to begin, island on the coast,island_on_the_coast
874fad2951ec46f7814c28dfb7b51b5a,Band of horses,Cease to begin, cigarettes wedding bands,cigarettes_wedding_bands
2719a608ce664fe4b42f473f2ef79f97,Band of horses,Everything All the Time, Part One,Part_One
e543c745f67a4095a9fdb40ce0914bf3,Band of horses,Infinite Arms, Factory,Factory
2ce2e22c61c54bf79d4a6efb2c2ab304,Band of horses,Infinite Arms,-02 Compliments,Compliments
b557f2e57334437a89e9d6aeef4549e0,Band of horses,Infinite Arms,-03 Laredo,Laredo
a568186b0d62473787da1d4563bdcc2b,Band of horses,Infinite Arms,-04 Blue Beard,Blue_Beard
93c3c5d3c9ca4a9f84a4d756d8e8ac31,Band of horses,Infinite Arms,-05 Way Back Home,Way_Back_Home
c0385170e913425cbb903e482e623369,Band of horses,Infinite Arms,-07 Dilly,Dilly
e89c22b9426f4f5db925e448d672ed7b,Band of horses,Infinite Arms,-10 Trudy,Trudy
384430bfdc174bc283f0dad566be121a,Band of horses,Infinite Arms, Bartles + James,Bartles_+_James
72a89393900b43bea32aad1590fe138b,Beach House,Devotion, Wedding Bell,Wedding_Bell
6a17b297a00f49959847a7032e7b895c,Beach House,Devotion, You Came to Me,You_Came_to_Me
347da45ddf874e4ea507c27ca525cd5c,Beach House,Devotion, Gila,Gila
2e24fa8ad9b64f19a90d4299c90b67fd,Beach House,Devotion, Turtle Island,Turtle_Island
d47370852914418fa0e3668d9e4c4ba2,Beach House,Devotion, Holy Dances,Holy_Dances
0f6a69b0ea094618bd59acbfd49c02c0,Beach House,Devotion, All the Years,All_the_Years
461d85c2b4164c909c46eaed0ce914d4,Beach House,Devotion, Heart of Chambers,Heart_of_Chambers
9b27b574cd074bd8974ce2aa877a4086,Beach House,Devotion, Some Things Last a Long Time,Some_Things_Last_a_Long_Time
0e75d6e3b8e042edad03bdc52a2e5aae,Beach House,Devotion, Astronaut,Astronaut
27bbb6840776414bac31d63fdb492652,Beach House,Devotion, D.A.R.L.I.N.G,DARLING
0333b73429ba4e649c75fc67925ca285,Beach House,Devotion, Home Again,Home_Again
2a4d1e163ce146adaf768905cb4d4c4b,Beach House,Teen Dream, Silver Soul,Silver_Soul
28214fdeaa0145e2b7e8de1fe5b1599b,Beach House,Teen Dream, Norway,Norway
